titulo,orgao,vagas,salario,salario_numerico,escolaridade,status,cidade,estado,data_coleta,fonte,link
Amazul - Amazônia Azul Tecnologias de Defesa S.A.,,59,"R$ 9739,10",9739.1,Superior,,,,2025-10-21T12:47:59.304576,PCI Concurso,https://www.pciconcursos.com.br/noticias/amazul-publica-retificacao-de-concurso-publico
ARSESP - Agência Reguladora de Serviços Públicos de São Paulo,,105,"R$ 12.070,00",12070.0,Superior,,,,2025-10-21T12:47:59.307215,PCI Concurso,https://www.pciconcursos.com.br/noticias/arsesp-retifica-concurso-publico-com-salarios-de-ate-12-mil
PM - Polícia Militar do Estado de São Paulo,,200,"R$ 5055,53",5055.53,Ensino Médio,,,,2025-10-21T12:47:59.307215,PCI Concurso,https://www.pciconcursos.com.br/noticias/pm-sp-abre-2200-vagas-em-novo-concurso-publico
Prefeitura de Birigui,,33,"R$ 9277,02",9277.02,Superior,,,,2025-10-21T12:47:59.307215,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-birigui-sp-retifica-concurso-publico-com-salarios-de-ate-9-2-mil
Prefeitura de Guarulhos,,1,"R$ 2581,06",2581.06,Ensino Médio,,,,2025-10-21T12:47:59.307215,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-guarulhos-sp-publica-retificacoes-de-concurso-publico-para-assistente-de-gestao-publica
Prefeitura de Lorena,,10,"R$ 7583,07",7583.07,Superior,,,,2025-10-21T12:47:59.307215,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-lorena-sp-divulga-retificacao-de-concurso-publico
Prefeitura de Mairiporã,,10,"R$ 3364,67",3364.67,Ensino Médio,,,,2025-10-21T12:47:59.307215,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-mairipora-sp-publica-concurso-publico-para-guarda-civil-municipal
Prefeitura de Paulínia,,26,"R$ 6882,47",6882.47,Médio,,,,2025-10-21T12:47:59.307215,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-paulinia-sp-lanca-edital-de-concurso-publico-com-26-vagas
Prefeitura de São José do Rio Preto,,577,"R$ 16.232,76",16232.76,Superior,,,,2025-10-21T12:47:59.307215,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-sao-jose-do-rio-preto-sp-informa-abertura-de-processo-seletivo-e-concurso-publico
Câmara de Alumínio,,2,"R$ 5031,30",5031.3,Superior,,,,2025-10-21T12:47:59.307215,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-aluminio-sp-promove-concurso-publico-com-salarios-de-ate-5-mil
Câmara de Bofete,,1,"R$ 5532,96",5532.96,Superior,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-bofete-sp-abre-edital-de-concurso-publico-para-cargo-de-agente-de-contratacao-e-pregoeiro
Câmara de Brotas,,4,"R$ 9800,00",9800.0,Superior,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-brotas-sp-anuncia-um-concurso-publico-com-quatro-vagas
Câmara de Franca,,1,"R$ 5944,47",5944.47,Superior,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-franca-sp-promove-concurso-publico-para-analista-de-controle-interno
Câmara de Itirapuã,,1,"R$ 2683,43",2683.43,Ensino Médio,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-itirapua-sp-publica-concurso-publico-para-escriturario-legislativo
Câmara de Mirassol,,9,"R$ 9637,74",9637.74,Superior,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-mirassol-sp-publica-edital-de-concurso-publico
Câmara de Mogi das Cruzes,,18,"R$ 10.069,96",10069.96,Superior,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/concurso-publico-com-salarios-de-ate-10-mil-e-divulgado-pela-camara-de-mogi-das-cruzes-sp
Câmara de Nova Odessa,,2,"R$ 11.789,19",11789.19,Superior,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-nova-odessa-sp-lanca-concurso-publico-com-duas-vagas-e-formacao-de-cadastro-de-reserva
Câmara de Pederneiras,,3,"R$ 3405,40",3405.4,Superior,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-pederneiras-sp-abre-inscricoes-de-edital-de-concurso-publico
Câmara de Santa Rita do Passa Quatro,,3,"R$ 9615,97",9615.97,Superior,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-santa-rita-do-passa-quatro-sp-abre-concurso-publico-para-assistente-legislativo-e-procurador-juridico
Câmara de São João da Boa Vista,,0,"R$ 7392,69",7392.69,Superior,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-sao-joao-da-boa-vista-sp-abre-edital-de-concurso-publico-para-formar-cadastro-reserva
Câmara de São Lourenço da Serra,,2,"R$ 3005,59",3005.59,Fundamental,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/camara-de-sao-lourenco-da-serra-sp-divulga-duas-vagas-em-novo-processo-seletivo-retificado
CGE - Controladoria Geral do Estado,,200,"R$ 17.850,00",17850.0,Superior,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/cge-sp-divulga-retificacao-de-concurso-publico
Consórcio Intermunicipal Cemmil,,0,"R$ 3000,00",3000.0,Fundamental,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/cemmil-sp-publica-edital-de-processo-seletivo-para-cargos-de-nivel-fundamental
CORE - Conselho Regional dos Representantes Comerciais no Estado de São Paulo,,29,"R$ 8524,51",8524.51,Superior,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/core-sp-promove-concurso-publico-com-salarios-de-ate-8-5-mil
CRA - Conselho Regional de Administração de São Paulo,,22,"R$ 5968,00",5968.0,Superior,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/cra-sp-abre-22-vagas-em-novo-concurso-publico
EMURJA - Empresa Municipal de Urbanização de Jaboticabal,,1,"R$ 2824,30",2824.3,Fundamental,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/emurja-sp-abre-inscricoes-para-um-novo-processo-seletivo
Etec - Escola Técnica - Itapevi,,0,"R$ 22,47",22.47,Superior,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/etec-de-itapevi-sp-lanca-edital-de-processo-seletivo-para-cargo-de-professor
FAMESP - Fundação para o Desenvolvimento Médico e Hospitalar,,7,"R$ 5784,95",5784.95,Superior,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/famesp-divulga-sete-processos-seletivos-para-medicos-em-botucatu-sp
FATEC - Faculdade de Tecnologia - Osasco,,1,"R$ 3113,11",3113.11,Superior,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/fatec-de-osasco-sp-informa-processo-seletivo-para-cargo-de-auxiliar-de-docente
Funcamp - Faculdade de Ciências Médicas,,1,"R$ 3322,20",3322.2,Superior,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/funcamp-sp-abre-processo-seletivo-para-tecnico-de-laboratorio-pesquisador
Funcamp - Fundação de Desenvolvimento da Unicamp,,1,"R$ 2882,98",2882.98,Técnico,,,,2025-10-21T12:47:59.309777,PCI Concurso,https://www.pciconcursos.com.br/noticias/funcamp-sp-publica-processo-seletivo-para-auxiliar-de-enfermagem
FUNCAMP - Fundação de Desenvolvimento da Unicamp (AME),,1,"R$ 4276,43",4276.43,Técnico,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/funcamp-sp-publica-processo-seletivo-para-tecnico-em-equipamentos-medicos-hospitalares
Funcamp - Fundação de Desenvolvimento da Unicamp - Campinas,,1,"R$ 3380,82",3380.82,Técnico,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/funcamp-anuncia-edital-de-processo-seletivo-para-tecnico-de-enfermagem
Fundação do ABC - Itatiba,,46,"R$ 15.648,49",15648.49,Superior,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/fundacao-do-abc-de-itatiba-sp-abre-46-vagas-em-novo-processo-seletivo
GRAU - Grupo de Resgate,,30,"R$ 5557,50",5557.5,Superior,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/grau-ses-sp-abre-concurso-publico-para-medicos
HC - Hospital de Clínicas,,1,"R$ 3583,62",3583.62,Superior,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/funcamp-abre-processo-seletivo-para-medico-oftalmologista
HCRP - Hospital das Clínicas da Faculdade de Medicina de Botucatu da USP,,1,"R$ 2908,00",2908.0,Superior,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/hcfmrp-usp-divulga-novo-processo-seletivo-para-agente-tecnico-de-assistencia-a-saude
HCRP - Hospital das Clínicas de Ribeirão Preto,,0,"R$ 2908,00",2908.0,Superior,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/hcrp-usp-abre-concurso-publico-para-fisico
HES - Hospital Estadual Sumaré,,1,"R$ 6637,66",6637.66,Superior,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/funcamp-anuncia-edital-de-processo-seletivo-para-enfermeiro-obstetrico
"IFSP - Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",,21,"R$ 8692,32",8692.32,Superior,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/ifsp-abre-concurso-publico-para-tecnicos-administrativos-em-educacao
InvestSP - Agência Paulista de Promoção de Investimentos e Competitividade,,4,"R$ 13.321,00",13321.0,Superior,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/investsp-abre-processo-seletivo-com-quatro-vagas-em-sao-paulo
MP - Ministério Público do Estado de São Paulo,,13,"R$ 18.705,85",18705.85,Superior,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/mp-sp-divulga-concurso-publico-com-salarios-de-18-7-mil
Prefeitura da Estância Hidromineral de Serra Negra,,29,"R$ 1875,71",1875.71,Fundamental,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-da-estancia-hidromineral-de-serra-negra-sp-abre-29-vagas-em-novo-processo-seletivo
Prefeitura da Estância Turística de Avaré,,8,"R$ 5502,88",5502.88,Superior,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-estancia-turistica-de-avare-sp-abre-dois-novos-concursos-publicos
Prefeitura da Estância Turística de Joanópolis,,36,"R$ 6021,78",6021.78,Superior,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-da-estancia-turistica-de-joanopolis-sp-anuncia-um-concurso-publico-e-um-processo-seletivo
Prefeitura da Estância Turística de Tremembé,,106,"R$ 5280,62",5280.62,Superior,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-da-estancia-turistica-de-tremembe-sp-anuncia-abertura-de-processo-seletivo-com-diversas-vagas
Prefeitura de Altinópolis,,0,"R$ 11.222,37",11222.37,Superior,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-altinopolis-sp-lanca-edital-de-concurso-publico-para-formar-cadastro-reserva
Prefeitura de Américo Brasiliense,,2,"R$ 2212,89",2212.89,Superior,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/edital-de-processo-seletivo-e-anunciado-pela-prefeitura-de-americo-brasiliense-sp
Prefeitura de Anhumas,,0,"R$ 1704,12",1704.12,Médio,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-anhumas-sp-lanca-inscricoes-para-processo-seletivo
Prefeitura de Bariri,,1,"R$ 4748,28",4748.28,Superior,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/concurso-publico-da-prefeitura-de-bariri-sp-oferece-vaga-para-procurador-juridico
Prefeitura de Bauru,,4,"R$ 5808,50",5808.5,Superior,,,,2025-10-21T12:47:59.313346,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-bauru-sp-abre-inscricoes-para-quatro-concursos-publicos
Prefeitura de Cajamar,,0,"R$ 10.924,23",10924.23,Superior,,,,2025-10-21T12:47:59.315690,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-cajamar-sp-retifica-um-dos-editais-de-concursos-publicos
Prefeitura de Capela do Alto,,0,"R$ 5098,65",5098.65,Superior,,,,2025-10-21T12:47:59.315690,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-capela-do-alto-sp-prorroga-inscricoes-de-processo-seletivo
Prefeitura de Castilho,,22,"R$ 5892,89",5892.89,Superior,,,,2025-10-21T12:47:59.315690,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-castilho-sp-lanca-edital-de-concurso-publico-com-diversos-cargos
Prefeitura de Cristais Paulista,,0,"R$ 5251,62",5251.62,Superior,,,,2025-10-21T12:47:59.315690,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-cristais-paulista-sp-divulga-retificacao-de-concurso-publico
Prefeitura de Cunha,,0,"R$ 8773,85",8773.85,Superior,,,,2025-10-21T12:47:59.315690,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-cunha-sp-publica-retificacao-de-processo-seletivo
Prefeitura de Dumont,,1,"R$ 3307,58",3307.58,Ensino Médio,,,,2025-10-21T12:47:59.315690,PCI Concurso,https://www.pciconcursos.com.br/noticias/prefeitura-de-dumont-sp-abre-vaga-para-escriturario-em-novo-concurso-publico
